"estimate","statistic","p.value","method","alternative","microbe","score","gene"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia.s__Romboutsia_ilealis","IADL",NA
NA,NA,NA,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Lachnoclostridium_sp_An138","IADL",NA
NA,NA,NA,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_unclassified.g__Clostridiales_unclassified.s__Clostridiales_bacterium_CHKCI006","IADL",NA
0.763762615825973,13.2292935137455,0.0456591237814116,"Spearman's rank correlation rho","two.sided","k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified.g__Caudovirales_unclassified.s__Enterobacteria_phage_P4","IADL",NA
0.666666666666667,18.6666666666667,0.101939478829858,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_rogosae","IADL",NA
0.763762615825973,13.2292935137455,0.0456591237814116,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales.f__Candidatus_Gastranaerophilales_unclassified.g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium","IADL",NA
NA,NA,NA,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_sp_CAG_274","PROMIS",NA
NA,NA,NA,"Spearman's rank correlation rho","two.sided","k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__N15virus.s__Escherichia_virus_N15","PROMIS",NA
-0.427272727272727,79.9272727272727,0.338996098128954,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D16","PROMIS",NA
0.30631873731649,38.8461507102766,0.504027008666588,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus","PROMIS",NA
NA,NA,NA,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia.s__Romboutsia_ilealis","SPPB",NA
NA,NA,NA,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Lachnoclostridium_sp_An138","SPPB",NA
-0.560112033611204,87.3662738822274,0.19097230337749,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Absiella.s__Absiella_dolichum","SPPB",NA
0.641688947919748,20.0654189164941,0.120285390337638,"Spearman's rank correlation rho","two.sided","k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified.g__Caudovirales_unclassified.s__Enterobacteria_phage_P4","SPPB",NA
0.560112033611204,24.6337261177726,0.19097230337749,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_rogosae","SPPB",NA
0.641688947919748,20.0654189164941,0.120285390337638,"Spearman's rank correlation rho","two.sided","k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales.f__Candidatus_Gastranaerophilales_unclassified.g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium","SPPB",NA
-0.707106781186547,34.142135623731,0.181690113816209,"Spearman's rank correlation rho","two.sided",NA,"IADL","LAG3"
-0.707106781186547,34.142135623731,0.181690113816209,"Spearman's rank correlation rho","two.sided",NA,"IADL","CD8A"
